Q2,-11.30,9.00,0.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-3.10,0.40,0.00,3K3,CPF0201D7K68C1_0201
R18,-1.50,1.30,180.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-3.80,-4.50,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.30,9.70,180.00,5K1,CPF0201D7K68C1_0201
R2,8.60,-7.90,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-15.00,8.30,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.00,9.80,0.00,5K1,CPF0201D7K68C1_0201
R3,-4.60,0.40,90.00,0,CPF0201D7K68C1_0201
R4,11.20,-4.70,0.00,0,CPF0201D7K68C1_0201
R5,-12.40,-11.80,180.00,10k,CPF0201D7K68C1_0201
R7,9.60,-11.60,0.00,10k,CPF0201D7K68C1_0201
R8,-1.40,-11.80,0.00,10k,CPF0201D7K68C1_0201
R9,1.50,-7.10,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-4.90,-1.40,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-3.10,-4.50,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-6.80,-6.20,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.10,-13.83,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,7.80,13.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-7.80,-9.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,21.30,-11.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.60,-9.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-1.40,-10.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,5.30,-10.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,18.40,-9.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,14.90,4.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,20.80,7.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,21.00,4.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,18.00,4.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,17.80,-12.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,6.70,-14.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,8.00,-9.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.30,0.80,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-5.40,-13.90,0.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,10.80,7.60,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-7.30,2.60,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
